,FantPt
,mean
Name,
AJ Dillon ,8.91764705882353
Aaron Jones,11.8
Alex Collins,5.4363636363636365
Alexander Mattison,6.260000000000001
Alvin Kamara,14.438461538461537
Ameer Abdullah,3.6785714285714284
Antonio Gibson ,11.69375
Austin Ekeler,17.1125
Boston Scott,9.511111111111111
Brandon Bolden,5.19375
Chase Edmonds,8.358333333333333
Chris Carson,10.525
Chris Evans,3.8666666666666663
Christian McCaffrey,12.928571428571429
Chuba Hubbard,7.0375
Clyde Edwards-Helaire,9.86
Cordarrelle Patterson,11.4125
D'Andre Swift,11.299999999999999
D'Ernest Johnson,7.091666666666666
D'Onta Foreman,9.433333333333332
Dalvin Cook,13.253846153846155
Damien Harris,12.806666666666667
Damien Williams,5.625
Dare Ogunbowale,4.122222222222223
Darrel Williams,8.95
Darrell Henderson,11.200000000000001
David Johnson,3.792307692307692
David Montgomery,11.76923076923077
DeeJay Dallas,3.5545454545454542
Derrick Gore,6.0125
Derrick Henry ,21.9125
Devin Singletary,9.282352941176471
Devonta Freeman,7.0375
Devontae Booker,6.50625
Dontrell Hilliard,7.671428571428572
Duke Johnson,11.02
Elijah Mitchell,13.272727272727273
Ezekiel Elliott,12.06235294117647
Giovani Bernard,3.6100000000000003
J.D. McKissic,7.718181818181819
Jamaal Williams,7.2153846153846155
James Conner,14.713333333333333
James Robinson,10.207142857142857
Jaret Patterson,3.5307692307692307
Javonte Williams,9.523529411764706
Jeff Wilson,7.416666666666667
Jeremy McNichols,3.5076923076923077
Joe Mixon,15.36875
Jonathan Taylor,19.594117647058823
Jordan Howard,8.642857142857142
Josh Jacobs,11.466666666666667
Justin Jackson,5.3500000000000005
Kareem Hunt,11.0
Kenneth Gainwell,6.026666666666667
Kenyan Drake,6.041666666666667
Khalil Herbert,4.992307692307692
Kyle Juszczyk,2.92
Latavius Murray,6.685714285714285
Leonard Fournette,13.328571428571427
Mark Ingram,5.828571428571429
Matt Breida,5.1000000000000005
Melvin Gordon,11.139999999999999
Michael Carter,8.457142857142857
Mike Davis,5.541176470588235
Miles Sanders,7.6000000000000005
Myles Gaskin,7.329411764705882
Najee Harris,13.335294117647058
Nick Chubb,13.950000000000001
Nyheim Hines,4.270588235294118
Peyton Barber,4.9875
Phillip Lindsay,3.483333333333333
Rashaad Penny,11.57
Rex Burkhead,6.616666666666667
Rhamondre Stevenson,8.408333333333333
Ronald Jones II,4.613333333333333
Samaje Perine,4.014285714285714
Saquon Barkley,8.276923076923076
Sony Michel,7.370588235294117
Tevin Coleman,3.6818181818181817
Tony Pollard,8.24
Travis Homer,3.8166666666666664
Ty Johnson,5.935714285714285
Zack Moss,6.323076923076924
